Comment,Designator,Footprint,LCSC,Quantity
SN65HVD230DR,U4,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C12084,1
X322516MLB4SI,X1,OSC-SMD_4P-L3.2-W2.5-BL,C13738,1
DB125-3.5-2P-GN-S,U1,DB125-3.5-2P-GN-S_2025,,1
0.1u,C1,C_0402_1005Metric,,1
22p,C4,C_0402_1005Metric,,1
MCP2515-xSO,U2,SOIC-18W_7.5x11.6mm_P1.27mm,,1
4k7,R1,R_0402_1005Metric,,1
100n,C2,C_0402_1005Metric,,1
22p,C3,C_0402_1005Metric,,1
4k7,R3,R_0402_1005Metric,,1
560p,C6,C_0402_1005Metric,,1
120R,R5,R_0402_1005Metric,,1
100R,R2,R_0402_1005Metric,,1
560p,C5,C_0402_1005Metric,,1
100R,R4,R_0402_1005Metric,,1
GPIO,J1,PinSocket_2x20_P2.54mm_Vertical,,1
